stand_number,total_area_ha,total_volume_m3_ha,pine_bam_height_m,spruce_bam_height_m,birch_bam_height_m,other_deciduous_bam_height_m,pine_bam_dbh_cm,spruce_bam_dbh_cm,birch_bam_dbh_cm,other_deciduous_bam_dbh_cm
0,0.17,120,9.2,13.7,14.8,15.9,12,17,15,18
1,0.98,107,0.0,13.7,13.2,14.6,0,17,16,16
2,0.29,200,19.5,18.9,17.9,20.2,28,22,19,25
3,0.62,193,18.9,17.5,17.6,0.0,28,22,17,0
4,1.11,231,20.3,19.7,19.1,0.0,29,25,19,0
5,2.73,19,0.0,7.3,8.5,9.1,0,9,10,11
6,0.3,114,0.0,13.4,0.0,13.2,0,17,0,17
7,1.16,180,18.8,18.4,18.0,0.0,27,21,18,0
8,1.84,31,0.0,7.0,7.4,7.9,0,8,9,10
9,0.66,41,0.0,0.0,8.1,8.5,0,0,10,10
